ticket_id,created_date,created_timestamp,ticket_type,ticket_subject,ticket_description,ticket_status,resolution,ticket_priority,ticket_channel,channel_raw,is_self_serve,product_area,customer_segment,resolution_outcome,resolved_by_automation,first_response_time_minutes,time_to_resolution_minutes,agent_id,cost_per_ticket_usd,csat_responded,customer_satisfaction_rating,reopened,country,device_type
TCK135619,2025-01-23,2025-01-23T16:15:00,Billing Inquiry,Invoice missing for last billing cycle,Customer did not receive an invoice for the most recent billing period.,Closed,Invoice was resent to the customer's email on file.,High,Phone,phone,False,billing,free,resolved_agent,False,1.99,5.7,AG1035,13.22,True,4.0,False,IN,Desktop
TCK143514,2025-01-25,2025-01-25T09:19:00,Technical Issue,Mobile app freezes randomly,Customer's mobile app freezes intermittently during normal use.,Open,,Medium,Chatbot,self_serve_bot,True,technical_issue,free,escalated_to_agent,False,0.19,,AG1040,3.6,False,,False,AU,Tablet
TCK149922,2025-02-02,2025-02-02T13:03:00,General Inquiry,General feedback about service,Customer is providing general feedback about their experience.,Closed,Thanked customer for feedback and logged it for the product team.,High,Community Forum,community_forum,True,general_inquiry,enterprise,resolved_bot,True,83.7,89.28,,0.58,False,,False,DE,Mobile
TCK100821,2025-02-06,2025-02-06T20:18:00,General Inquiry,Question about data privacy,Customer has questions regarding how their data is used and stored.,Open,,Medium,Community Forum,community_forum,True,general_inquiry,enterprise,unresolved,False,295.65,,AG1012,0.22,False,,False,UK,Desktop
TCK127474,2025-02-09,2025-02-09T20:46:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,Critical,Chatbot,self_serve_bot,True,technical_issue,paid_basic,abandoned,False,0.15,14.63,,0.32,True,1.0,False,DE,Desktop
TCK135557,2025-02-14,2025-02-14T08:20:00,Billing Inquiry,Unable to update payment method,Customer is unable to update their credit card details on the billing page.,Closed,Payment method updated successfully after clearing a stale card record.,Critical,Community Forum,community_forum,True,billing,paid_premium,resolved_bot,True,195.62,196.34,,0.28,False,,False,AU,Desktop
TCK117372,2025-02-15,2025-02-15T14:37:00,Billing Inquiry,Question about subscription renewal,Customer is asking when their subscription will renew and at what price.,Open,,Low,Community Forum,community_forum,True,billing,paid_basic,escalated_to_agent,False,12.58,,AG1075,5.28,False,,False,AU,Mobile
TCK130577,2025-02-28,2025-02-28T03:34:00,Billing Inquiry,Invoice missing for last billing cycle,Customer did not receive an invoice for the most recent billing period.,Open,,Medium,Chatbot,self_serve_bot,True,billing,enterprise,unresolved,False,2.08,,AG1035,0.35,False,,False,UK,Tablet
TCK138555,2025-03-06,2025-03-06T12:24:00,Technical Issue,App crashes on launch,Customer reports the application crashes immediately after opening it on their device.,Closed,Issue resolved by clearing cache and reinstalling the application.,Medium,Email,email,False,account_access,free,resolved_agent,False,299.3,301.93,AG1094,7.91,False,,False,BR,Mobile
TCK103419,2025-03-06,2025-03-06T18:34:00,Technical Issue,Error code 500 when saving changes,Customer receives a server error when attempting to save their work.,Closed,"Backend service was restarted, resolving the server error.",Critical,Phone,phone,False,account_access,paid_premium,resolved_agent,False,2.52,38.37,AG1129,16.39,True,3.0,False,IN,Desktop
TCK112147,2025-03-07,2025-03-07T11:04:00,Billing Inquiry,Refund request for duplicate charge,Customer was charged twice for the same billing cycle and is requesting a refund.,Closed,Duplicate charge identified and refund was processed within 5-7 business days.,Medium,Email,email,False,billing,paid_basic,resolved_agent,False,205.79,215.29,AG1000,3.22,True,5.0,False,US,Mobile
TCK105843,2025-03-10,2025-03-10T17:54:00,Technical Issue,Feature not loading correctly,Customer states a specific feature fails to load and shows a blank screen.,Pending Customer Response,,Low,Community Forum,community_forum,True,account_access,paid_basic,unresolved,False,39.86,,AG1088,0.43,False,,False,FR,Desktop
TCK120913,2025-03-11,2025-03-11T07:29:00,General Inquiry,Asking about company policies,Customer wants clarification on a specific company policy.,Open,,Medium,Community Forum,community_forum,True,general_inquiry,paid_premium,unresolved,False,247.43,,AG1101,0.28,False,,False,IN,Desktop
TCK110192,2025-03-14,2025-03-14T13:53:00,Technical Issue,Sync error between devices,Customer's data is not syncing properly between the desktop and mobile app.,Closed,Sync issue fixed after forcing a manual refresh on both devices.,Low,Chat,live_chat_agent,False,technical_issue,paid_basic,resolved_agent,False,3.21,11.7,AG1056,4.86,True,4.0,False,BR,Desktop
TCK123921,2025-03-19,2025-03-19T21:14:00,Technical Issue,Integration with third-party tool failing,Customer cannot connect their account to a third-party integration tool.,Closed,Reconnected the integration using updated API credentials.,High,Chat,live_chat_agent,False,technical_issue,free,resolved_agent,False,5.95,85.09,AG1103,3.82,False,,False,UK,Mobile
TCK117023,2025-03-20,2025-03-20T09:40:00,Billing Inquiry,Discrepancy in billed amount,Customer believes the amount billed does not match their selected plan.,Closed,Billing discrepancy traced to a plan change mid-cycle; prorated correctly and explained.,Low,Email,email,False,billing,paid_premium,resolved_agent,False,71.39,126.79,AG1181,4.41,False,,False,UK,Mobile
TCK121779,2025-03-21,2025-03-21T21:02:00,Returns/Refunds,Exchange request for wrong size,Customer wants to exchange an item for a different size.,Closed,Exchange processed and correct size shipped at no extra cost.,Medium,Email,email,False,returns_refunds,paid_basic,resolved_agent,False,62.46,148.46,AG1111,3.73,True,5.0,False,AU,Desktop
